id,severity,area,file_path,evidence,why_it_matters,risk_if_ignored,required_action,owner_decision_needed,suggested_next_prompt_or_action
M-09,MEDIUM,data_policy,06_GOVERNANCE_AND_COMPLIANCE/lab_readiness/BO01_FIRST_TRAIN_ONLY_REALDATA_BACKTEST_PROTOCOL_DESIGN_V1.md:57-65,"protocol Data Proof section omits the SHA256 hash that the later Phase A prompt requires (prompt line 87/207/240)","design and operative prompt disagree on a provenance control (prompt is stricter)","auditor confusion; weaker provenance if a future run follows the design doc not the prompt","back-patch the protocol design to include the SHA256 requirement","no - cleanup","Doc reconciliation: align protocol §5 with prompt SHA256"
M-10,MEDIUM,git_repository,BOT_RESEARCH_WORKTREES/eurusd-daytime-strategy-01,"git worktree list shows this linked worktree on research/eurusd-daytime-strategy-01 marked prunable","stale registered worktree is a drift/confusion hazard","accidental work or confusion against a stale worktree","owner to prune the stale worktree outside this read-only audit","yes","Maintenance: git worktree prune (owner-run)"
L-01,LOW,governance_chain,06_GOVERNANCE_AND_COMPLIANCE/lab_readiness/M2_TRAIN_ONLY_STRUCTURAL_RETRY_EXECUTION_REPORT_V1.md:63,"Run Metadata Commit SHA listed as base runner-patch f01bdf77 while true exec HEAD is 76a27c8a (self-flagged F-02)","provenance commit mislabeled in an execution report","a reproduction would check out the wrong tree","correct the execution report SHA (post-Phase-A doc pass)","no - cleanup","Doc fix: correct M2 retry provenance SHA"
L-02,LOW,prompts,06_GOVERNANCE_AND_COMPLIANCE/lab_readiness/BO01_PHASE_A_EXECUTION_PROMPT_DRAFT_EXTERNAL_AUDIT_V1.md:172-174,"findings table cites draft lines #L111/#L182/#L248 but current draft has them at 100/164-165/229","stale evidence anchors weaken patch traceability","future auditors verify wrong lines and miss a regression","refresh the line anchors (post-Phase-A doc pass)","no - cleanup","Doc fix: refresh stale line anchors"
L-03,LOW,backtest_runner,03_RESEARCH_LAB/research_lab/runners/bo01_backtest_runner.py:405-412,"run_bo01_backtest_on_frame never passes timeout_bars so timeout_count is always 0 vs protocol §8 metrics","dead metric; protocol lists a statistic the runner cannot produce","misleading zero timeout_count in reports","decide timeout policy; do not edit the pinned runner before Phase A","no","Post-Phase-A runner cleanup backlog"
L-04,LOW,backtest_runner,03_RESEARCH_LAB/research_lab/runners/bo01_backtest_runner.py:475-511,"winrate uses gross_r>0 while streaks/expectancy use net_r","internally inconsistent win accounting (gross vs net)","winrate overstates success relative to net metrics","standardize on net_r for winrate (post-Phase-A; preserve pin now)","no","Post-Phase-A runner cleanup backlog"
L-05,LOW,backtest_runner,03_RESEARCH_LAB/research_lab/runners/bo01_backtest_runner.py:361-366,"broad except Exception around strategy.signal counts and continues without surfacing the error","a systematically failing strategy yields 0 trades and appears safe","silent strategy breakage masked as a clean run","add exception-type capture/logging (post-Phase-A; preserve pin now)","no","Post-Phase-A runner cleanup backlog"
L-06,LOW,tests,03_RESEARCH_LAB/research_lab/tests/test_bo01_backtest_runner_safety.py:16-19,"static scan asserts no read_csv/to_csv/Path( but not open(/os./subprocess/requests/socket; runner no-file-IO not behaviorally tested","brittle string scan; a future open( in the runner would pass","undetected file/network I/O added to the runner later","strengthen the safety scan and add an open()-patch behavioral test (post-Phase-A)","no","Post-Phase-A test hardening backlog"
L-07,LOW,backtest_runner,03_RESEARCH_LAB/research_lab/runners/bo01_backtest_runner.py:306-379,"max_trades_per_day is a caller-overridable parameter; module constant MAX_TRADES_PER_DAY not enforced; day boundary = index-tz calendar date","1/day cap depends on caller; UTC-calendar day may not equal London session day","cap silently bypassable; possible session-misaligned bucketing","document the 1/day enforcement contract for callers (post-Phase-A)","no","Post-Phase-A doc/runner cleanup backlog"
L-08,LOW,architecture,03_RESEARCH_LAB/research_lab/config_BACKUP_20260421_1535.py,"timestamped *_BACKUP_*.py committed beside live config.py/engine.py; core modules also snapshot-duplicated under reports/canonical_*","source-of-truth ambiguity and refactor/grep hazard","accidental edits to or imports of stale duplicates","prune ad-hoc backup siblings; rely on git/07_BACKUPS (post-Phase-A)","no - cleanup","Post-Phase-A architecture tidy"
L-09,LOW,git_repository,(repo-wide branch topology),"~135 local branches plus worktree sprawl; Telegram remediation reachable only from research/v50b-* not main","trunk hygiene risk; important fixes/evidence may never reach main","lost fixes/evidence; navigation overhead","branch pruning + consolidate security evidence to main (post-Phase-A)","no - cleanup","Post-Phase-A branch consolidation"
L-10,LOW,git_repository,03_RESEARCH_LAB/strategy_research_intake/external_research_20260516/hypothesis_backlog,"5 untracked external-research intake files in the working tree; desktop.ini tracked under 05_MARKET_DATA_VAULT/manual_data/DATA MANUAL","uncommitted intake artifacts and OS cruft in the vault","drift ambiguity; minor vault pollution","owner to decide intake-file disposition; ignore desktop.ini (post-Phase-A)","no - cleanup","Post-Phase-A intake disposition"
I-01,INFO,prompts,06_GOVERNANCE_AND_COMPLIANCE/lab_readiness/BO01_PHASE_A_EXECUTION_PROMPT_WARNING_PATCH_REPORT_V1.md:19,"W-01/W-02/W-03 verified correctly applied (governance sub-agent git-verification + independent grep of prompt draft lines 100/165/229-234/249)","the warning patch the owner was about to execute is sound","n/a","none - positive finding","no","No action; this audit subsumes a patch-specific audit"
I-02,INFO,governance_chain,06_GOVERNANCE_AND_COMPLIANCE/lab_readiness,"chain M0->M1->M2->runner->protocol->Phase A contiguous and git-verifiable; M2-blocked report fails closed before runner build","decision lineage is coherent and traceable","n/a","none - positive finding","no","No action"
I-03,INFO,governance_chain,06_GOVERNANCE_AND_COMPLIANCE/lab_readiness/M2_TRAIN_ONLY_STRUCTURAL_RETRY_EXECUTION_REPORT_V1.md:36-37,"BO01=638 and MR02=5 stated consistently across M2 report, M2 audit, protocol design, framework audit","cross-report numeric integrity holds","n/a","none - positive finding","no","No action"
I-04,INFO,governance_chain,06_GOVERNANCE_AND_COMPLIANCE/lab_readiness/BO01_FIRST_TRAIN_ONLY_REALDATA_BACKTEST_PROTOCOL_DESIGN_V1.md:172,"every edge/profitability/FTMO mention is a negative disclaimer not a claim","no unproven positive performance claims","n/a","none - positive finding","no","No action"
I-05,INFO,bo01,03_RESEARCH_LAB/research_lab/tests/test_strategy_contract_bo01.py:136-144,"no-future-poisoning test sets all i+1: rows to garbage and asserts signal unchanged; BO01/MR02 self-limit 1/day and active position","strategy in-frame causality is behaviorally proven","n/a","none - positive finding (note H-01 caveat for precomputed columns)","no","No action"
I-06,INFO,backtest_runner,03_RESEARCH_LAB/research_lab/runners/bo01_backtest_runner.py:76-79,"no file I/O; numpy/pandas/typing only; no top-level exec; 2025/2026 blocked by index.year; entry t+1; STOP_FIRST; costs subtracted; no optimization; no broker/demo/real/FTMO/Telegram","runner core safety properties hold under static review","n/a","none - positive finding","no","No action"
I-07,INFO,security_secrets,04_INFRASTRUCTURE_ENGINEERING/mt5_lab/mt5_demo_executor_lab/local_launch/mt5_local_config.json.example,"no live secret tracked; only a safe .example DEMO template; .gitignore secrets block effective (0 secret-like files tracked)","working-tree secret hygiene holds","n/a","none - positive finding (note historical M-08)","no","No action"
I-08,INFO,mr02,06_GOVERNANCE_AND_COMPLIANCE/lab_readiness/BO01_FIRST_TRAIN_ONLY_REALDATA_BACKTEST_PROTOCOL_DESIGN_V1.md:25,"MR02 excluded from the Phase A protocol and deferred for low signal count (5)","scope discipline keeps the 5-signal strategy out of interpretation","n/a","keep MR02 paused and out of Phase A","no","No action; do not reintroduce MR02 without more evidence"
I-09,INFO,tests,03_RESEARCH_LAB/research_lab/tests/test_bo01_backtest_runner_contract.py:85-136,"tests synthetic, no real-data read, no outputs written; cover 2025/2026, validation/holdout, fail-closed, costs, entry t+1, stop-first","negative-path coverage for the critical safety cases exists","n/a","none - positive finding (see L-06 scan gap)","no","No action"
